#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
-0.04937,-0.0011882,-0.079936,-0.00032004,0.10003,0.47196,0.047204,1.0491,-5.3934
-0.11005,-0.0032976,-0.1808,-0.0013634,0.22871,0.37736,0.070083,0.79487,-3.8657
-0.15541,-0.0058531,-0.25923,-0.0031239,0.33042,0.32496,-0.046674,0.82991,-4.8068
-0.19792,-0.0089571,-0.33083,-0.0054845,0.41693,0.29269,-0.10832,0.83757,-5.2448
-0.23751,-0.012561,-0.39751,-0.0083983,0.49391,0.25493,-0.095797,0.73148,-4.5881
-0.26971,-0.016529,-0.45469,-0.011808,0.55991,0.44019,0.002527,1.0349,-5.6033
-0.32049,-0.021422,-0.54739,-0.015816,0.67622,0.37299,-0.0098567,0.89319,-4.9136
-0.36045,-0.026804,-0.62501,-0.020507,0.77316,0.22477,-0.056074,0.60637,-3.6533
-0.38019,-0.032324,-0.67133,-0.025692,0.82866,0.43467,0.047639,0.96054,-4.9096
-0.42109,-0.038748,-0.75822,-0.031411,0.94131,0.42497,-0.0032554,1.0068,-5.4882
-0.46031,-0.045833,-0.84425,-0.037822,1.0504,0.33328,-0.026615,0.82229,-4.6364
-0.48519,-0.053272,-0.91014,-0.04484,1.1335,0.39914,0.0088718,0.92941,-4.9899
-0.5142,-0.061357,-0.98782,-0.052433,1.2339,0.35487,0.0070475,0.82748,-4.4481
-0.53394,-0.069855,-1.0547,-0.060604,1.3215,0.52518,0.10479,1.0964,-5.2798
-0.56855,-0.079277,-1.1534,-0.069437,1.455,0.23784,-0.059882,0.64236,-3.8732
-0.56822,-0.088644,-1.1951,-0.078832,1.5087,0.46442,0.052059,1.0247,-5.2296
-0.58955,-0.098899,-1.2803,-0.088734,1.6241,0.29764,0.0095686,0.68907,-3.6803
-0.58612,-0.10926,-1.3295,-0.099174,1.6928,0.28291,-0.063777,0.75396,-4.5043
-0.58022,-0.11996,-1.3775,-0.11,1.7569,0.38464,0.0327,0.86283,-4.4751
-0.57927,-0.1312,-1.4421,-0.12128,1.8484,0.27399,-0.009547,0.65924,-3.6412
