#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
-0.04937,-0.0011882,-0.079936,-0.00032004,0.10003,0.40271,-3.5262,-0.63177,-4.6429
0.097982,0.0020236,0.23475,0.00030028,0.20971,0.43092,-0.401,2.064,-2.8026
-0.0062444,0.0013203,0.051194,0.0014435,0.32626,0.55439,-4.4707,-0.26179,-5.9015
0.14921,0.0058208,0.39299,0.0032215,0.47575,0.59901,-1.6159,2.3456,-5.7957
0.065501,0.0069628,0.26743,0.0058629,0.6363,0.384,-2.5952,0.37877,-5.205
0.12297,0.010666,0.41251,0.0085833,0.73658,0.52805,4.1214,-0.29525,-3.009
0.0017706,0.010811,0.16782,0.010904,0.87558,0.56655,1.2271,-0.51862,-6.5304
-0.014226,0.011768,0.1507,0.012178,1.024,0.38348,0.18234,1.6702,-3.4142
-0.11725,0.010402,-0.03056,0.012658,1.1211,0.59991,0.07548,1.8733,-5.5735
-0.2274,0.0074331,-0.22031,0.011654,1.2767,0.5127,-4.443,1.227,-3.0618
-0.15393,0.0076593,-0.041019,0.010609,1.4072,0.55736,1.5425,1.1967,-2.6827
-0.27108,0.0043379,-0.26519,0.0093833,1.5489,0.46937,1.2124,0.22856,-5.7946
-0.32259,0.0009075,-0.35819,0.0068893,1.6653,0.48274,-0.012226,-0.40013,-3.6757
-0.29738,-0.0013372,-0.30643,0.0042308,1.7845,0.6005,-4.6083,0.2572,-3.4155
-0.16066,-0.00024004,-0.012786,0.0029548,1.935,0.48499,-1.2721,1.734,-4.6102
-0.21481,-0.0016821,-0.097852,0.002512,2.0527,0.49103,-0.14802,1.612,-5.2136
-0.29735,-0.0045499,-0.24447,0.0011421,2.171,0.49698,-3.4328,0.21123,-3.0522
-0.19427,-0.0038626,-0.026291,5.9686e-05,2.2901,0.40757,3.4015,1.8237,-5.171
-0.40148,-0.0094111,-0.43536,-0.0017884,2.3836,0.51795,3.829,1.745,-4.7801
-0.61382,-0.018383,-0.86356,-0.0069858,2.5067,0.42933,-0.75784,1.8393,-5.4819
-0.67943,-0.02696,-0.98696,-0.014389,2.6046,0.56412,-3.9275,0.52104,-6.0139
-0.56681,-0.031968,-0.75585,-0.02136,2.7386,0.55465,-1.97,2.0371,-3.9208
-0.59948,-0.038875,-0.82024,-0.027665,2.8689,0.55785,-1.7508,1.4239,-4.0567
-0.60226,-0.045571,-0.83424,-0.034283,2.9991,0.47129,1.4285,0.92509,-3.1771
-0.67624,-0.054293,-1.0124,-0.041671,3.1045,0.38879,-3.1832,0.85461,-5.607
-0.59544,-0.060405,-0.86447,-0.049179,3.1864,0.45527,-4.0055,1.4064,-5.0378
-0.51718,-0.065397,-0.71967,-0.055515,3.2859,0.38485,-3.0264,1.2375,-3.7329
-0.45923,-0.069803,-0.62637,-0.060899,3.3653,0.61312,1.6065,-0.472,-5.9361
-0.45419,-0.074929,-0.66361,-0.06606,3.5067,0.52366,-2.3974,0.50645,-5.3653
-0.37282,-0.078335,-0.5325,-0.070844,3.6224,0.38615,-4.6817,0.84805,-3.2035
-0.23572,-0.079262,-0.28723,-0.074122,3.6995,0.45489,-4.2441,-0.14366,-4.8741
-0.05882,-0.077238,0.034368,-0.075133,3.7948,0.40116,1.5893,2.3029,-4.9885
-0.20667,-0.080976,-0.29534,-0.076178,3.8747,0.415,-2.6192,0.82833,-4.6721
-0.13467,-0.081714,-0.18529,-0.0781,3.9576,0.60507,-4.9294,0.18119,-2.8648
0.047882,-0.078757,0.14437,-0.078263,4.0921,0.59563,0.18663,0.61821,-6.5324
0.038697,-0.078102,0.08818,-0.077333,4.2229,0.39665,2.8586,0.57974,-5.0401
-0.053072,-0.080072,-0.14773,-0.077572,4.2981,0.56473,-3.5961,0.86179,-3.7332
0.048741,-0.07889,0.022212,-0.078073,4.4188,0.40309,2.0452,1.9349,-4.8294
-0.091081,-0.082581,-0.30008,-0.079186,4.4941,0.52628,-3.5049,0.82852,-4.8972
0.011294,-0.082606,-0.12947,-0.080903,4.6027,0.56287,-4.2519,0.029516,-2.8165
0.18216,-0.07956,0.16991,-0.080741,4.7205,0.60255,-0.37131,1.563,-3.2251
0.14126,-0.079555,0.045978,-0.079877,4.8481,0.5505,0.036525,1.2858,-3.7492
