#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
-0.04937,-0.0011882,-0.079936,-0.00032004,0.10003,0.34908,-0.16645,1.0191,-4.69
-0.10132,-0.0030789,-0.16469,-0.0012989,0.195,0.31481,-0.22041,0.99979,-4.5714
-0.14925,-0.0055509,-0.24345,-0.0029318,0.27981,0.32368,-0.23285,0.89762,-4.691
-0.1898,-0.0084721,-0.30986,-0.0051455,0.36638,0.40269,0.23039,0.72361,-4.6523
-0.23403,-0.01204,-0.38896,-0.0079412,0.47394,0.36494,0.12658,0.88098,-4.5781
-0.28188,-0.016338,-0.47689,-0.011405,0.57028,0.4042,-0.17445,0.80266,-4.6472
-0.3137,-0.020937,-0.53531,-0.015454,0.67663,0.39274,-0.17482,0.92234,-4.5843
-0.35009,-0.026131,-0.6056,-0.020019,0.77899,0.32841,-0.22498,0.99134,-4.5839
-0.38642,-0.031896,-0.67886,-0.025157,0.86288,0.38236,0.23513,0.76351,-4.5728
-0.42233,-0.038266,-0.7586,-0.030907,0.9609,0.40608,-0.14094,0.89991,-4.649
-0.45103,-0.045095,-0.82596,-0.037246,1.0647,0.38807,-0.15391,0.88061,-4.7728
-0.47542,-0.052369,-0.88919,-0.044108,1.1626,0.3743,0.12116,0.9485,-4.5687
-0.50931,-0.060417,-0.97753,-0.051575,1.2561,0.36475,0.21521,1.0114,-4.6899
-0.54635,-0.06927,-1.0773,-0.059796,1.3461,0.38304,0.23969,0.717,-4.6582
-0.56407,-0.078458,-1.1468,-0.068693,1.4405,0.35242,0.14598,0.87262,-4.6745
-0.58371,-0.08827,-1.2249,-0.078181,1.5257,0.3749,0.1382,0.8411,-4.5968
-0.59735,-0.098579,-1.298,-0.088274,1.6164,0.35279,0.053901,0.73769,-4.6876
-0.59842,-0.10918,-1.3531,-0.098879,1.7003,0.3256,-0.2309,0.99187,-4.5714
-0.6003,-0.12026,-1.4144,-0.10995,1.7761,0.34972,0.21609,0.70105,-4.7843
-0.59605,-0.13171,-1.4737,-0.1215,1.8579,0.36766,0.11323,0.72317,-4.6783
-0.58519,-0.1435,-1.5272,-0.13351,1.9439,0.32566,0.12251,0.74573,-4.6764
-0.57127,-0.15567,-1.5822,-0.14595,2.0178,0.33266,-0.22315,0.89791,-4.6586
-0.54998,-0.16811,-1.6283,-0.15879,2.093,0.3187,-0.036429,0.8729,-4.7513
-0.5285,-0.18096,-1.6828,-0.17203,2.1637,0.38142,0.20656,0.88072,-4.7588
-0.51022,-0.19436,-1.753,-0.18578,2.2511,0.32973,-0.046867,0.94443,-4.6047
-0.48199,-0.2081,-1.8113,-0.20004,2.3236,0.3703,0.057652,0.79855,-4.6561
-0.44366,-0.22209,-1.8598,-0.21472,2.4067,0.33122,-0.21579,0.76278,-4.5838
-0.38911,-0.23609,-1.8845,-0.2297,2.4784,0.31638,0.16077,0.89609,-4.7408
-0.34876,-0.25069,-1.9468,-0.24503,2.5455,0.31663,0.1269,0.95637,-4.7282
-0.30493,-0.26573,-2.0114,-0.26086,2.612,0.37904,-0.22227,0.82031,-4.7496
-0.23644,-0.28071,-2.0363,-0.27705,2.6952,0.40091,-0.13001,0.84796,-4.6072
-0.16663,-0.29589,-2.069,-0.29348,2.7837,0.32215,-0.038402,0.90004,-4.7467
-0.096832,-0.31138,-2.1114,-0.3102,2.8499,0.36705,0.17532,0.70282,-4.6914
-0.016868,-0.32701,-2.146,-0.32723,2.9279,0.32122,0.18714,0.8939,-4.5715
0.058216,-0.34307,-2.1999,-0.34461,2.9927,0.38092,0.18797,0.75839,-4.754
0.14707,-0.35927,-2.2375,-0.36237,3.0734,0.3577,-0.21089,0.85226,-4.6812
0.24983,-0.37545,-2.2563,-0.38034,3.147,0.34862,0.033716,0.70483,-4.5945
0.35923,-0.39167,-2.2747,-0.39847,3.2176,0.33565,-0.23086,0.71737,-4.7623
0.48261,-0.40772,-2.2744,-0.41666,3.284,0.3324,0.12443,1.0123,-4.7747
0.58437,-0.42437,-2.3273,-0.43507,3.3491,0.35332,0.22967,0.78991,-4.6046
0.70181,-0.44111,-2.3626,-0.45383,3.4193,0.38828,-0.098361,1.0151,-4.647
0.82383,-0.45805,-2.3972,-0.47287,3.4986,0.37052,-0.19495,0.75113,-4.6503
0.97031,-0.4747,-2.396,-0.49205,3.5724,0.37176,-0.13657,0.7874,-4.6734
1.1193,-0.49132,-2.4007,-0.51124,3.6459,0.39445,-0.11079,0.91126,-4.6463
1.2672,-0.50807,-2.4184,-0.53051,3.725,0.41247,0.20179,0.73713,-4.6282
1.4213,-0.52487,-2.4375,-0.54994,3.8085,0.34898,-0.033548,1.0025,-4.5966
1.5749,-0.54187,-2.4666,-0.56956,3.8739,0.39219,0.06608,0.835,-4.7052
1.7414,-0.55884,-2.4828,-0.58935,3.9506,0.36627,-0.15615,0.93604,-4.6895
1.9162,-0.57579,-2.4929,-0.60926,4.0197,0.31944,-0.18071,0.80988,-4.6552
2.1054,-0.5925,-2.4864,-0.62918,4.0753,0.34734,-0.059783,0.97427,-4.7586
2.2882,-0.60937,-2.5034,-0.64914,4.1381,0.38379,0.12258,0.9283,-4.7732
2.4745,-0.62636,-2.5262,-0.66926,4.2104,0.33676,-0.030699,0.85787,-4.663
2.6766,-0.64319,-2.5297,-0.68948,4.2692,0.39484,-0.12182,1.0151,-4.645
2.8795,-0.66008,-2.5417,-0.70977,4.3435,0.33893,0.044004,0.90133,-4.7439
3.0903,-0.67692,-2.5511,-0.73014,4.4019,0.32024,0.0024386,0.89617,-4.7235
3.3095,-0.69369,-2.5555,-0.75057,4.4547,0.40832,0.14244,0.88904,-4.5575
3.5314,-0.71049,-2.5673,-0.77106,4.5312,0.31902,-0.19653,0.99017,-4.7615
3.7654,-0.72713,-2.5645,-0.79159,4.5826,0.3704,-0.17248,0.85398,-4.5809
4.013,-0.74346,-2.5478,-0.81204,4.6477,0.3925,0.013374,0.88514,-4.6967
4.2595,-0.75975,-2.5452,-0.83241,4.7184,0.33882,0.20065,0.87614,-4.7013
4.5072,-0.77606,-2.5526,-0.8528,4.7738,0.34692,0.17638,0.83163,-4.7666
4.7649,-0.79224,-2.552,-0.87322,4.8309,0.37012,-0.10677,1.0102,-4.5921
5.0284,-0.80831,-2.5496,-0.89363,4.8939,0.34255,0.15682,0.82416,-4.7159
5.3005,-0.82422,-2.5438,-0.91401,4.9489,0.31716,-0.024973,0.91505,-4.6514
5.58,-0.83995,-2.5337,-0.93432,4.9965,0.37908,0.14586,0.72947,-4.7332
5.8708,-0.85539,-2.5141,-0.95451,5.0607,0.3307,-0.022489,0.77221,-4.75
6.1711,-0.87048,-2.486,-0.97451,5.1111,0.33768,0.24785,0.80189,-4.7829
